Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,isfraud
74304,,1,0,1,0,0,0,0,688,1
92957,,1,0,1,0,0,0,0,688,1
65003,,1,0,1,0,0,0,0,688,1
74698,,1,0,1,0,0,0,0,688,1
76083,,2,0,2,0,0,0,0,688,1
84610,,2,1,3,2,0.666667,0.75,8,688,1
57988,,1,0,1,0,0,0,0,688,1
2921,,1,0,1,0,0,0,0,688,1
49717,,1,0,1,0,0,0,0,688,1
21170,,1,0,1,0,0,0,0,688,1
41303,,0,21,21,2,0.956522,0.977273,0,764,1
56599,,1,0,1,0,0,0,0,764,1
59859,,1,0,1,0,0,0,0,764,1
87040,,1,0,1,0,0,0,0,764,1
32078,,1,0,1,0,0,0,0,764,1
24642,,1,0,1,0,0,0,0,764,1
6023,,1,0,1,0,0,0,0,764,1
7365,,1,0,1,0,0,0,0,764,1
85313,,1,0,1,0,0,0,0,764,1
10758,,2,0,2,0,0,0,0,764,1
48255,,1,1,2,1,1,1,1,764,1
1734,,1,0,1,0,0,0,0,764,1
23380,,1,0,1,0,0,0,0,764,1
31080,,1,0,1,0,0,0,0,764,1
35232,,1,0,1,0,0,0,0,764,1
10106,,2,0,2,0,0,0,0,764,1
91303,,1,0,1,0,0,0,0,764,1
66304,,1,0,1,0,0,0,0,764,1
1115,,1,0,1,0,0,0,0,764,1
45716,,1,0,1,0,0,0,0,764,1
60699,,1,0,1,0,0,0,0,764,1
96785,,1,0,1,0,0,0,0,764,1
94160,,1,10,11,26,0.099448,0.370956,72,16,1
91113,,1,0,1,0,0,0,0,16,1
51748,,1,0,1,0,0,0,0,16,1
86897,,1,0,1,0,0,0,0,16,1
5128,,2,1,3,25,0.076923,0.152638,125,16,1
4729,,1,0,1,0,0,0,0,16,1
4088,,1,0,1,0,0,0,0,16,1
29945,,1,0,1,0,0,0,0,16,1
46650,,0,10,10,1,1,1,0,0,1
45126,,1,0,1,0,0,0,0,0,1
96521,,1,0,1,0,0,0,0,0,1
41504,,1,0,1,0,0,0,0,0,1
77964,,1,0,1,0,0,0,0,0,1
42181,,1,0,1,0,0,0,0,0,1
16579,,1,0,1,0,0,0,0,0,1
41407,,2,0,2,0,0,0,0,0,1
11735,,1,0,1,0,0,0,0,0,1
26531,,1,0,1,0,0,0,0,0,1
14337,,0,13,13,3,0.8,0.895833,0,281,1
34919,,1,0,1,0,0,0,0,281,1
14122,,1,0,1,0,0,0,0,281,1
96136,,1,0,1,0,0,0,0,281,1
83542,,1,0,1,0,0,0,0,281,1
40692,,1,0,1,0,0,0,0,281,1
18417,,2,0,2,0,0,0,0,281,1
83422,,1,0,1,0,0,0,0,281,1
99234,,1,0,1,0,0,0,0,281,1
17643,,1,0,1,0,0,0,0,281,1
29217,,1,0,1,0,0,0,0,281,1
98945,,1,16,17,4,0.676471,0.822464,23,1320,1
17156,,1,0,1,0,0,0,0,1320,1
12336,,2,0,2,0,0,0,0,1320,1
56564,,1,0,1,0,0,0,0,1320,1
8886,,1,0,1,0,0,0,0,1320,1
60348,,1,0,1,0,0,0,0,1320,1
57767,,1,0,1,0,0,0,0,1320,1
86290,,1,0,1,0,0,0,0,1320,1
92568,,1,0,1,0,0,0,0,1320,1
89586,,1,1,2,1,1,1,2,1320,1
38452,,1,0,1,0,0,0,0,1320,1
43634,,1,0,1,0,0,0,0,1320,1
73838,,1,0,1,0,0,0,0,1320,1
38105,,1,1,2,3,0.5,0.611111,6,1320,1
1382,,1,0,1,0,0,0,0,1320,1
76061,,1,0,1,0,0,0,0,1320,1
49617,,1,13,14,6,0.542857,0.786842,19,121,1
4706,,1,0,1,0,0,0,0,121,1
56953,,1,0,1,0,0,0,0,121,1
91515,,1,0,1,0,0,0,0,121,1
78037,,1,0,1,0,0,0,0,121,1
50689,,1,0,1,0,0,0,0,121,1
1697,,1,0,1,0,0,0,0,121,1
35324,,1,0,1,0,0,0,0,121,1
16525,,1,0,1,0,0,0,0,121,1
82085,,1,0,1,0,0,0,0,121,1
42206,,1,1,2,1,1,1,2,121,1
85481,,1,0,1,0,0,0,0,121,1
72883,,1,0,1,0,0,0,0,121,1
99248,,0,13,13,1,1,1,0,1,1
67938,,1,0,1,0,0,0,0,1,1
73213,,1,0,1,0,0,0,0,1,1
429,,1,0,1,0,0,0,0,1,1
89022,,1,0,1,0,0,0,0,1,1
54612,,1,0,1,0,0,0,0,1,1
96138,,1,0,1,0,0,0,0,1,1
2985,,1,0,1,0,0,0,0,1,1
14966,,1,0,1,0,0,0,0,1,1
37768,,1,0,1,0,0,0,0,1,1
50655,,1,0,1,0,0,0,0,1,1
92355,,1,0,1,0,0,0,0,1,1
38923,,1,0,1,0,0,0,0,1,1
53021,,1,0,1,0,0,0,0,1,1
51726,,1,19,20,17,0.206751,0.51021,49,395,1
49910,,1,0,1,0,0,0,0,395,1
56221,,2,0,2,0,0,0,0,395,1
97540,,1,0,1,0,0,0,0,395,1
90664,,1,0,1,0,0,0,0,395,1
49527,,1,1,2,16,0.117647,0.211296,32,94,1
89214,,1,0,1,0,0,0,0,395,1
95950,,1,1,2,1,1,1,2,69,1
21719,,1,0,1,0,0,0,0,395,1
13813,,1,0,1,0,0,0,0,395,1
3560,,1,0,1,0,0,0,0,395,1
42917,,1,0,1,0,0,0,0,395,1
61277,,1,0,1,0,0,0,0,395,1
27860,,1,0,1,0,0,0,0,395,1
7269,,1,0,1,0,0,0,0,395,1
96842,,1,0,1,0,0,0,0,395,1
39012,,1,0,1,0,0,0,0,395,1
55703,,1,0,1,0,0,0,0,395,1
19796,,1,0,1,0,0,0,0,395,1
6438,,0,3,3,1,1,1,0,2,1
32031,,1,0,1,0,0,0,0,2,1
88725,,1,0,1,0,0,0,0,2,1
69456,,1,0,1,0,0,0,0,2,1
65687,,2,27,29,3,0.90625,0.95977,87,138,1
81705,,1,0,1,0,0,0,0,138,1
52181,,1,0,1,0,0,0,0,138,1
51295,,1,0,1,0,0,0,0,138,1
43244,,1,0,1,0,0,0,0,138,1
16872,,1,0,1,0,0,0,0,138,1
62768,,2,0,2,0,0,0,0,138,1
78519,,1,0,1,0,0,0,0,138,1
23623,,1,0,1,0,0,0,0,138,1
464,,1,0,1,0,0,0,0,138,1
90201,,1,0,1,0,0,0,0,138,1
44494,,1,0,1,0,0,0,0,138,1
37580,,1,1,2,2,0.666667,0.75,8,138,1
16151,,2,0,2,0,0,0,0,138,1
82653,,1,0,1,0,0,0,0,138,1
56071,,1,0,1,0,0,0,0,138,1
61206,,1,0,1,0,0,0,0,138,1
8347,,1,0,1,0,0,0,0,138,1
99304,,1,0,1,0,0,0,0,138,1
71275,,1,0,1,0,0,0,0,138,1
99526,,1,0,1,0,0,0,0,138,1
20322,,1,0,1,0,0,0,0,138,1
71407,,1,0,1,0,0,0,0,138,1
58872,,1,0,1,0,0,0,0,138,1
66946,,1,0,1,0,0,0,0,138,1
75591,,1,0,1,0,0,0,0,138,1
35091,,1,0,1,0,0,0,0,138,1
53801,,1,0,1,0,0,0,0,138,1
33044,,0,10,10,1,1,1,0,3,1
95901,,1,0,1,0,0,0,0,3,1
51300,,1,0,1,0,0,0,0,3,1
36219,,1,0,1,0,0,0,0,3,1
93763,,1,0,1,0,0,0,0,3,1
96646,,1,0,1,0,0,0,0,3,1
91745,,1,0,1,0,0,0,0,3,1
42423,,1,0,1,0,0,0,0,3,1
33678,,1,0,1,0,0,0,0,3,1
44261,,1,0,1,0,0,0,0,3,1
63130,,1,0,1,0,0,0,0,3,1
84631,,1,27,28,2,0.965517,0.982143,56,737,1
22295,,1,0,1,0,0,0,0,737,1
7327,,1,0,1,0,0,0,0,737,1
93915,,1,0,1,0,0,0,0,737,1
89055,,1,0,1,0,0,0,0,737,1
18659,,1,0,1,0,0,0,0,737,1
49484,,1,0,1,0,0,0,0,737,1
44977,,1,0,1,0,0,0,0,737,1
10120,,1,0,1,0,0,0,0,737,1
87632,,1,0,1,0,0,0,0,737,1
90763,,1,0,1,0,0,0,0,737,1
31020,,1,1,2,1,1,1,3,737,1
38377,,1,0,1,0,0,0,0,737,1
59396,,1,0,1,0,0,0,0,737,1
10192,,1,0,1,0,0,0,0,737,1
55612,,1,0,1,0,0,0,0,737,1
88411,,1,0,1,0,0,0,0,737,1
69544,,1,0,1,0,0,0,0,737,1
3923,,1,0,1,0,0,0,0,737,1
52046,,1,0,1,0,0,0,0,737,1
17392,,1,0,1,0,0,0,0,737,1
1293,,1,0,1,0,0,0,0,737,1
92938,,1,0,1,0,0,0,0,737,1
458,,1,0,1,0,0,0,0,737,1
53560,,1,0,1,0,0,0,0,737,1
99850,,1,0,1,0,0,0,0,737,1
92208,,0,25,25,3,0.848485,0.934524,0,688,1
8285,,1,0,1,0,0,0,0,688,1
21342,,1,0,1,0,0,0,0,688,1
54393,,1,0,1,0,0,0,0,688,1
80535,,1,0,1,0,0,0,0,688,1
14139,,1,0,1,0,0,0,0,688,1
87216,,1,0,1,0,0,0,0,688,1
99163,,1,0,1,0,0,0,0,688,1
59122,,1,0,1,0,0,0,0,688,1
21922,,1,0,1,0,0,0,0,688,1
90125,,1,0,1,0,0,0,0,688,1
82093,,1,0,1,0,0,0,0,688,1
70020,,1,0,1,0,0,0,0,688,1
29903,,1,0,1,0,0,0,0,688,1
21920,,1,0,1,0,0,0,0,688,1
95571,,1,0,1,0,0,0,0,688,1
79028,,1,0,1,0,0,0,0,688,1
21074,,1,0,1,0,0,0,0,688,1
32010,,1,0,1,0,0,0,0,688,1
97181,,1,0,1,0,0,0,0,688,1
25306,,1,0,1,0,0,0,0,688,1
85065,,1,0,1,0,0,0,0,688,1
79808,,1,1,2,2,0.6,0.666667,3,688,1
41265,,1,0,1,0,0,0,0,688,1
26887,,1,0,1,0,0,0,0,688,1
57201,,0,28,28,2,0.911765,0.951613,0,112,1
99061,,1,2,3,1,1,1,2,112,1
47032,,1,0,1,0,0,0,0,112,1
2804,,1,0,1,0,0,0,0,112,1
53192,,1,0,1,0,0,0,0,112,1
42288,,1,0,1,0,0,0,0,112,1
48106,,1,0,1,0,0,0,0,112,1
89108,,1,0,1,0,0,0,0,112,1
86073,,1,0,1,0,0,0,0,112,1
15936,,1,0,1,0,0,0,0,112,1
27842,,1,0,1,0,0,0,0,112,1
5648,,1,0,1,0,0,0,0,112,1
12863,,1,0,1,0,0,0,0,112,1
78470,,1,0,1,0,0,0,0,112,1
47072,,1,0,1,0,0,0,0,112,1
39488,,1,0,1,0,0,0,0,112,1
99719,,1,0,1,0,0,0,0,112,1
33390,,1,0,1,0,0,0,0,112,1
15783,,1,0,1,0,0,0,0,112,1
86042,,1,0,1,0,0,0,0,112,1
93347,,1,0,1,0,0,0,0,112,1
29176,,1,0,1,0,0,0,0,112,1
227,,1,0,1,0,0,0,0,112,1
24752,,1,0,1,0,0,0,0,112,1
6859,,1,0,1,0,0,0,0,112,1
48901,,1,0,1,0,0,0,0,112,1
14996,,1,0,1,0,0,0,0,112,1
50435,,1,0,1,0,0,0,0,112,1
19861,,1,8,9,1,1,1,8,32,1
40645,,1,0,1,0,0,0,0,32,1
53416,,1,0,1,0,0,0,0,32,1
30727,,1,0,1,0,0,0,0,32,1
80161,,1,0,1,0,0,0,0,32,1
94793,,1,0,1,0,0,0,0,32,1
15146,,1,0,1,0,0,0,0,32,1
38036,,1,0,1,0,0,0,0,32,1
99481,,1,10,11,1,1,1,20,636,1
13917,,2,0,2,0,0,0,0,636,1
71131,,1,0,1,0,0,0,0,636,1
53557,,1,0,1,0,0,0,0,636,1
7932,,2,0,2,0,0,0,0,636,1
7578,,2,0,2,0,0,0,0,636,1
62810,,1,0,1,0,0,0,0,636,1
17070,,2,0,2,0,0,0,0,636,1
16433,,1,0,1,0,0,0,0,636,1
52550,,1,0,1,0,0,0,0,636,1
54475,,1,0,1,0,0,0,0,636,1
68791,,0,30,30,2,0.941176,0.96875,0,58,1
62487,,1,0,1,0,0,0,0,58,1
84833,,1,0,1,0,0,0,0,58,1
75811,,1,0,1,0,0,0,0,58,1
81109,,2,0,2,0,0,0,0,72,1
51754,,1,0,1,0,0,0,0,58,1
81556,,1,0,1,0,0,0,0,58,1
35130,,1,0,1,0,0,0,0,58,1
84283,,1,0,1,0,0,0,0,58,1
78026,,2,0,2,0,0,0,0,58,1
45813,,1,0,1,0,0,0,0,58,1
13599,,1,0,1,0,0,0,0,58,1
84840,,1,0,1,0,0,0,0,58,1
39954,,1,0,1,0,0,0,0,58,1
44668,,1,0,1,0,0,0,0,58,1
53807,,1,0,1,0,0,0,0,58,1
84245,,1,0,1,0,0,0,0,58,1
90360,,1,0,1,0,0,0,0,58,1
52533,,1,0,1,0,0,0,0,58,1
8245,,1,0,1,0,0,0,0,58,1
31105,,1,0,1,0,0,0,0,58,1
58660,,1,0,1,0,0,0,0,58,1
91650,,1,0,1,0,0,0,0,58,1
35873,,1,0,1,0,0,0,0,58,1
47734,,1,0,1,0,0,0,0,58,1
94903,,1,0,1,0,0,0,0,58,1
85879,,1,0,1,0,0,0,0,58,1
98566,,1,0,1,0,0,0,0,58,1
8490,,1,1,2,1,1,1,1,58,1
52164,,1,0,1,0,0,0,0,58,1
56039,,0,16,16,2,0.9,0.944444,0,661,1
69667,,1,0,1,0,0,0,0,661,1
5182,,1,0,1,0,0,0,0,661,1
60742,,1,0,1,0,0,0,0,661,1
84887,,1,0,1,0,0,0,0,661,1
82736,,1,0,1,0,0,0,0,661,1
58846,,1,0,1,0,0,0,0,661,1
28173,,1,0,1,0,0,0,0,661,1
54909,,1,0,1,0,0,0,0,661,1
48905,,1,0,1,0,0,0,0,661,1
62739,,1,0,1,0,0,0,0,661,1
71366,,1,0,1,0,0,0,0,661,1
8663,,1,0,1,0,0,0,0,661,1
39448,,1,0,1,0,0,0,0,661,1
9636,,1,0,1,0,0,0,0,661,1
31390,,1,21,22,23,0.182711,0.461362,93,330,1
20632,,1,0,1,0,0,0,0,330,1
84306,,1,0,1,0,0,0,0,330,1
21466,,1,0,1,0,0,0,0,330,1
45975,,1,0,1,0,0,0,0,330,1
72726,,1,0,1,0,0,0,0,330,1
38260,,1,0,1,0,0,0,0,330,1
60010,,1,0,1,0,0,0,0,330,1
60704,,1,30,31,22,0.165049,0.531646,136,330,1
11820,,1,0,1,0,0,0,0,330,1
67661,,1,0,1,0,0,0,0,330,1
45051,,1,0,1,0,0,0,0,330,1
23761,,2,0,2,0,0,0,0,330,1
5848,,1,0,1,0,0,0,0,330,1
54279,,1,1,2,1,1,1,2,330,1
57803,,1,1,2,1,1,1,2,330,1
7871,,1,0,1,0,0,0,0,330,1
44773,,1,0,1,0,0,0,0,330,1
7934,,1,0,1,0,0,0,0,330,1
27869,,0,10,10,1,1,1,0,55,1
4515,,1,0,1,0,0,0,0,55,1
9785,,1,0,1,0,0,0,0,55,1
98369,,1,0,1,0,0,0,0,55,1
41691,,1,0,1,0,0,0,0,55,1
25901,,1,0,1,0,0,0,0,55,1
8773,,2,0,2,0,0,0,0,55,1
51559,,1,0,1,0,0,0,0,55,1
17721,,1,0,1,0,0,0,0,55,1
20162,,1,0,1,0,0,0,0,55,1
62435,,1,0,1,0,0,0,0,55,1
93323,,1,17,18,3,0.807692,0.896825,63,348,1
73361,,1,0,1,0,0,0,0,348,1
51776,,1,0,1,0,0,0,0,348,1
44430,,1,0,1,0,0,0,0,348,1
98467,,1,0,1,0,0,0,0,348,1
65524,,1,0,1,0,0,0,0,348,1
8459,,1,0,1,0,0,0,0,348,1
73856,,1,0,1,0,0,0,0,348,1
33926,,1,0,1,0,0,0,0,348,1
53049,,1,0,1,0,0,0,0,348,1
26280,,1,0,1,0,0,0,0,348,1
3444,,1,0,1,0,0,0,0,348,1
82546,,1,0,1,0,0,0,0,348,1
81564,,1,0,1,0,0,0,0,348,1
70353,,1,0,1,0,0,0,0,348,1
61241,,1,1,2,1,1,1,4,348,1
38842,,1,1,2,2,0.666667,0.75,8,348,1
89295,,0,20,20,2,0.857143,0.916667,0,303,1
66204,,1,0,1,0,0,0,0,303,1
99510,,1,0,1,0,0,0,0,303,1
65242,,1,0,1,0,0,0,0,303,1
79048,,1,0,1,0,0,0,0,303,1
84058,,1,0,1,0,0,0,0,303,1
74624,,1,1,2,1,1,1,1,303,1
92441,,1,0,1,0,0,0,0,303,1
31334,,1,0,1,0,0,0,0,303,1
22467,,1,1,2,1,1,1,1,303,1
45371,,1,0,1,0,0,0,0,303,1
48013,,1,0,1,0,0,0,0,303,1
25627,,1,0,1,0,0,0,0,303,1
36647,,1,0,1,0,0,0,0,303,1
97579,,1,0,1,0,0,0,0,303,1
41543,,1,0,1,0,0,0,0,303,1
61024,,1,0,1,0,0,0,0,303,1
74642,,1,2,3,1,1,1,2,303,1
39844,,1,0,1,0,0,0,0,303,1
33076,,2,0,2,0,0,0,0,303,1
19541,,1,0,1,0,0,0,0,303,1
67037,,0,4,4,1,1,1,0,687,1
41457,,1,0,1,0,0,0,0,687,1
54684,,1,0,1,0,0,0,0,687,1
7649,,2,0,2,0,0,0,0,687,1
2149,,1,0,1,0,0,0,0,687,1
52856,,0,14,14,5,0.633333,0.830702,0,44,1
30172,,1,0,1,0,0,0,0,44,1
86509,,1,1,2,1,1,1,0,44,1
54453,,4,0,4,0,0,0,0,44,1
21152,,1,0,1,0,0,0,0,44,1
55468,,1,0,1,0,0,0,0,44,1
7432,,1,0,1,0,0,0,0,44,1
26831,,1,0,1,0,0,0,0,44,1
96616,,1,0,1,0,0,0,0,44,1
37785,,1,0,1,0,0,0,0,44,1
64447,,1,0,1,0,0,0,0,44,1
16132,,1,0,1,0,0,0,0,44,1
44078,,1,0,1,0,0,0,0,44,1
4157,,1,5,6,1,1,1,5,4,1
62109,,1,0,1,0,0,0,0,4,1
71564,,1,0,1,0,0,0,0,4,1
46229,,1,0,1,0,0,0,0,4,1
13983,,1,0,1,0,0,0,0,4,1
3068,,1,0,1,0,0,0,0,4,1
78025,,2,8,10,1,1,1,32,654,1
30013,,1,0,1,0,0,0,0,654,1
63322,,1,0,1,0,0,0,0,654,1
80557,,1,0,1,0,0,0,0,654,1
95282,,1,0,1,0,0,0,0,654,1
16645,,2,0,2,0,0,0,0,654,1
64684,,1,0,1,0,0,0,0,654,1
62636,,1,0,1,0,0,0,0,654,1
8105,,1,0,1,0,0,0,0,654,1
37013,,0,25,25,3,0.875,0.940476,0,240,1
48711,,2,0,2,0,0,0,0,240,1
65718,,1,0,1,0,0,0,0,240,1
84428,,1,0,1,0,0,0,0,240,1
34355,,1,0,1,0,0,0,0,240,1
36691,,2,0,2,0,0,0,0,240,1
65979,,1,0,1,0,0,0,0,240,1
16265,,1,0,1,0,0,0,0,240,1
94924,,1,0,1,0,0,0,0,240,1
49331,,1,0,1,0,0,0,0,240,1
17328,,1,1,2,1,1,1,1,240,1
24173,,1,0,1,0,0,0,0,240,1
43261,,1,0,1,0,0,0,0,240,1
68951,,1,0,1,0,0,0,0,240,1
17039,,1,0,1,0,0,0,0,240,1
83114,,1,0,1,0,0,0,0,240,1
53464,,1,0,1,0,0,0,0,240,1
48510,,1,0,1,0,0,0,0,240,1
24008,,1,0,1,0,0,0,0,240,1
70479,,1,0,1,0,0,0,0,240,1
30015,,1,0,1,0,0,0,0,240,1
33770,,1,0,1,0,0,0,0,240,1
2920,,1,0,1,0,0,0,0,240,1
41358,,1,0,1,0,0,0,0,240,1
40764,,1,1,2,2,0.666667,0.75,2,240,1
37287,,1,0,1,0,0,0,0,240,1
23081,,1,4,5,1,1,1,4,10,1
37346,,1,0,1,0,0,0,0,10,1
91471,,1,0,1,0,0,0,0,10,1
28927,,1,0,1,0,0,0,0,10,1
45909,,2,0,2,0,0,0,0,10,1
95800,,0,4,4,1,1,1,0,5,1
86274,,1,0,1,0,0,0,0,5,1
89802,,1,0,1,0,0,0,0,5,1
21249,,1,0,1,0,0,0,0,5,1
15095,,1,0,1,0,0,0,0,5,1
34900,,1,14,15,3,0.842105,0.927083,48,688,1
86069,,1,0,1,0,0,0,0,688,1
96070,,2,0,2,0,0,0,0,688,1
94089,,1,0,1,0,0,0,0,688,1
73751,,1,0,1,0,0,0,0,688,1
59759,,1,0,1,0,0,0,0,688,1
74671,,1,0,1,0,0,0,0,688,1
67203,,1,0,1,0,0,0,0,688,1
94261,,1,0,1,0,0,0,0,688,1
90762,,1,1,2,2,0.666667,0.75,8,688,1
7360,,1,0,1,0,0,0,0,688,1
3987,,1,0,1,0,0,0,0,688,1
91459,,1,0,1,0,0,0,0,688,1
52055,,0,12,12,2,0.928571,0.961538,0,303,1
69514,,1,0,1,0,0,0,0,303,1
4317,,1,0,1,0,0,0,0,303,1
56182,,1,0,1,0,0,0,0,303,1
56159,,1,0,1,0,0,0,0,303,1
9935,,1,0,1,0,0,0,0,303,1
12525,,1,0,1,0,0,0,0,303,1
16540,,1,1,2,1,1,1,1,303,1
39593,,1,0,1,0,0,0,0,303,1
83169,,1,0,1,0,0,0,0,303,1
82428,,1,0,1,0,0,0,0,303,1
44774,,1,0,1,0,0,0,0,303,1
96974,,1,0,1,0,0,0,0,303,1
26963,,1,3,4,1,1,1,45,73,1
80727,,1,0,1,0,0,0,0,73,1
37015,,2,0,2,0,0,0,0,73,1
50148,,1,0,1,0,0,0,0,73,1
34820,,0,26,26,2,0.964286,0.981481,0,240,1
37869,,1,0,1,0,0,0,0,240,1
69340,,1,0,1,0,0,0,0,240,1
86923,,1,0,1,0,0,0,0,240,1
46485,,1,0,1,0,0,0,0,240,1
30596,,1,0,1,0,0,0,0,240,1
97603,,1,0,1,0,0,0,0,240,1
53550,,1,0,1,0,0,0,0,240,1
67594,,2,0,2,0,0,0,0,240,1
65849,,1,0,1,0,0,0,0,240,1
56027,,1,0,1,0,0,0,0,240,1
9677,,1,0,1,0,0,0,0,240,1
96205,,1,0,1,0,0,0,0,240,1
70501,,1,0,1,0,0,0,0,240,1
84756,,1,0,1,0,0,0,0,240,1
96667,,2,0,2,0,0,0,0,240,1
13366,,1,0,1,0,0,0,0,240,1
37714,,1,0,1,0,0,0,0,240,1
37949,,1,0,1,0,0,0,0,240,1
13933,,1,0,1,0,0,0,0,240,1
84679,,1,0,1,0,0,0,0,240,1
27599,,1,0,1,0,0,0,0,240,1
51379,,2,1,3,1,1,1,3,240,1
68293,,1,0,1,0,0,0,0,240,1
73379,,2,0,2,0,0,0,0,240,1
78323,,1,0,1,0,0,0,0,240,1
1386,,1,0,1,0,0,0,0,240,1
66019,,0,28,28,3,0.885714,0.946237,0,124,1
93748,,1,0,1,0,0,0,0,124,1
36143,,1,1,2,2,0.666667,0.75,2,124,1
81456,,1,0,1,0,0,0,0,124,1
196,,1,0,1,0,0,0,0,124,1
6781,,1,0,1,0,0,0,0,124,1
48358,,1,0,1,0,0,0,0,124,1
77203,,1,0,1,0,0,0,0,124,1
32036,,1,0,1,0,0,0,0,124,1
30294,,1,0,1,0,0,0,0,124,1
38567,,1,0,1,0,0,0,0,124,1
74907,,1,0,1,0,0,0,0,124,1
16349,,1,0,1,0,0,0,0,124,1
52552,,1,0,1,0,0,0,0,124,1
34974,,1,0,1,0,0,0,0,124,1
29127,,1,0,1,0,0,0,0,124,1
90077,,1,1,2,1,1,1,1,124,1
56230,,1,0,1,0,0,0,0,124,1
24006,,1,0,1,0,0,0,0,124,1
94255,,1,0,1,0,0,0,0,124,1
37176,,1,0,1,0,0,0,0,124,1
31482,,1,0,1,0,0,0,0,124,1
29275,,1,0,1,0,0,0,0,124,1
22182,,1,0,1,0,0,0,0,124,1
22313,,1,0,1,0,0,0,0,124,1
17590,,1,0,1,0,0,0,0,124,1
24769,,1,0,1,0,0,0,0,124,1
85233,,1,0,1,0,0,0,0,124,1
51356,,1,0,1,0,0,0,0,124,1
98182,,0,15,15,2,0.941176,0.96875,0,500,1
81386,,1,0,1,0,0,0,0,500,1
36530,,1,0,1,0,0,0,0,500,1
93138,,1,0,1,0,0,0,0,500,1
3646,,2,0,2,0,0,0,0,500,1
49338,,1,0,1,0,0,0,0,500,1
17404,,1,0,1,0,0,0,0,500,1
59098,,1,0,1,0,0,0,0,500,1
93061,,1,0,1,0,0,0,0,500,1
58994,,1,0,1,0,0,0,0,500,1
63889,,1,0,1,0,0,0,0,500,1
47038,,1,0,1,0,0,0,0,500,1
60023,,1,0,1,0,0,0,0,500,1
22000,,1,0,1,0,0,0,0,500,1
60018,,1,0,1,0,0,0,0,500,1
50295,,1,1,2,1,1,1,1,500,1
87099,,0,4,4,5,0.391304,0.609259,0,102,1
92045,,1,0,1,0,0,0,0,102,1
6719,,1,0,1,0,0,0,0,102,1
63065,,1,0,1,0,0,0,0,102,1
34867,,1,15,16,10,0.337838,0.685159,150,18,1
52379,,1,0,1,0,0,0,0,18,1
20868,,2,0,2,0,0,0,0,18,1
64579,,1,0,1,0,0,0,0,18,1
7254,,1,0,1,0,0,0,0,18,1
15666,,1,0,1,0,0,0,0,18,1
70815,,1,0,1,0,0,0,0,18,1
47640,,1,0,1,0,0,0,0,18,1
99314,,1,0,1,0,0,0,0,18,1
77585,,1,0,1,0,0,0,0,18,1
5424,,2,0,2,0,0,0,0,18,1
