typeofaction,sourceid,destinationid,amountofmoney,date,isfraud,typeoffraud
cash-in,57175,10263,7611812,2019-04-19 10:52:00,1,type1
cash-in,57175,2789,7611812,2019-05-26 08:26:00,1,type1
cash-in,57175,18317,7611812,2019-05-31 14:25:00,1,type1
cash-in,57175,31899,7611812,2019-05-01 13:56:00,1,type1
cash-in,57175,15707,7611812,2019-04-18 10:41:00,1,type1
cash-in,57175,3736,7611812,2019-04-27 10:36:00,1,type1
cash-in,57175,58580,7611812,2019-05-19 10:55:00,1,type1
cash-in,57175,33869,7611812,2019-05-10 11:43:00,1,type1
cash-in,57175,96124,7611812,2019-06-03 10:09:00,1,type1
cash-in,57175,88964,7611812,2019-06-19 12:15:00,1,type1
cash-in,57175,69146,7611812,2019-06-29 10:31:00,1,type1
cash-in,57175,69240,7611812,2019-06-22 08:24:00,1,type1
cash-in,57175,85111,7611812,2019-03-02 10:53:00,1,type1
cash-in,57175,7916,7611812,2019-07-05 14:24:00,1,type1
cash-in,57175,74304,7611812,2019-06-09 10:36:00,1,type1
cash-in,57175,92957,7611812,2019-07-04 12:10:00,1,type1
cash-in,57175,65003,7611812,2019-06-02 09:10:00,1,type1
cash-in,57175,74698,7611812,2019-03-08 13:49:00,1,type1
cash-in,57175,76083,7611812,2019-04-05 13:14:00,1,type1
cash-in,57175,84610,7611812,2019-04-08 11:59:00,1,type1
cash-in,57175,57988,7611813,2019-04-10 14:51:00,1,type1
cash-in,57175,2921,7611813,2019-07-16 09:48:00,1,type1
cash-in,57175,49717,7611813,2019-04-03 09:08:00,1,type1
cash-in,57175,21170,7611813,2019-05-03 08:13:00,1,type1
cash-in,41303,56599,9957083,2019-05-15 12:32:00,1,type1
cash-in,41303,59859,9957083,2019-07-09 14:38:00,1,type1
cash-in,41303,87040,9957083,2019-03-10 09:37:00,1,type1
cash-in,41303,32078,9957083,2019-07-18 14:59:00,1,type1
cash-in,41303,24642,9957083,2019-05-26 10:33:00,1,type1
cash-in,41303,6023,9957083,2019-05-22 15:53:00,1,type1
cash-in,41303,7365,9957083,2019-07-15 12:05:00,1,type1
cash-in,41303,85313,9957083,2019-02-21 09:38:00,1,type1
cash-in,41303,10758,9957083,2019-05-09 14:40:00,1,type1
cash-in,41303,48255,9957084,2019-04-30 11:13:00,1,type1
cash-in,41303,1734,9957084,2019-03-17 13:33:00,1,type1
cash-in,41303,23380,9957084,2019-02-22 09:35:00,1,type1
cash-in,41303,31080,9957084,2019-02-22 08:06:00,1,type1
cash-in,41303,35232,9957084,2019-04-01 14:06:00,1,type1
cash-in,41303,10106,9957084,2019-06-09 09:05:00,1,type1
cash-in,41303,91303,9957084,2019-03-25 12:18:00,1,type1
cash-in,41303,66304,9957084,2019-07-19 14:14:00,1,type1
cash-in,41303,1115,9957084,2019-03-06 15:17:00,1,type1
cash-in,41303,45716,9957084,2019-02-20 10:56:00,1,type1
cash-in,41303,60699,9957084,2019-05-06 12:53:00,1,type1
cash-in,41303,96785,9957084,2019-04-09 09:42:00,1,type1
cash-in,94160,91113,49881519,2019-03-12 12:06:00,1,type1
cash-in,94160,51748,49881519,2019-02-22 09:24:00,1,type1
cash-in,94160,18317,49881519,2019-04-29 13:30:00,1,type1
cash-in,94160,86897,49881519,2019-03-02 09:17:00,1,type1
cash-in,94160,5128,49881519,2019-04-24 12:01:00,1,type1
cash-in,94160,4729,49881519,2019-05-25 15:10:00,1,type1
cash-in,94160,4088,49881519,2019-04-26 08:45:00,1,type1
cash-in,94160,29945,49881519,2019-06-15 12:20:00,1,type1
cash-in,46650,45126,64869423,2019-07-20 08:21:00,1,type1
cash-in,46650,96521,64869423,2019-07-15 11:44:00,1,type1
cash-in,46650,41504,64869423,2019-03-25 12:15:00,1,type1
cash-in,46650,77964,64869423,2019-02-28 09:11:00,1,type1
cash-in,46650,42181,64869423,2019-06-04 12:32:00,1,type1
cash-in,46650,16579,64869423,2019-04-23 11:26:00,1,type1
cash-in,46650,41407,64869423,2019-03-29 10:52:00,1,type1
cash-in,46650,11735,64869423,2019-04-20 12:34:00,1,type1
cash-in,46650,26531,64869423,2019-05-15 14:19:00,1,type1
cash-in,14337,34919,63003969,2019-07-15 09:32:00,1,type1
cash-in,14337,14122,63003969,2019-03-26 11:13:00,1,type1
cash-in,14337,96136,63003969,2019-03-28 13:07:00,1,type1
cash-in,14337,83542,63003969,2019-05-31 15:19:00,1,type1
cash-in,14337,40692,63003969,2019-02-22 12:58:00,1,type1
cash-in,14337,18417,63003970,2019-06-21 09:53:00,1,type1
cash-in,14337,83422,63003970,2019-03-29 14:07:00,1,type1
cash-in,14337,99234,63003970,2019-06-04 09:55:00,1,type1
cash-in,14337,17643,63003970,2019-07-07 09:34:00,1,type1
cash-in,14337,29217,63003970,2019-06-08 11:03:00,1,type1
cash-in,98945,17156,28441032,2019-03-08 10:49:00,1,type1
cash-in,98945,12336,28441032,2019-06-04 10:00:00,1,type1
cash-in,98945,56564,28441032,2019-04-14 14:26:00,1,type1
cash-in,98945,8886,28441032,2019-04-06 13:53:00,1,type1
cash-in,98945,60348,28441032,2019-04-23 11:22:00,1,type1
cash-in,98945,57767,28441032,2019-06-12 12:07:00,1,type1
cash-in,98945,86290,28441032,2019-03-05 10:45:00,1,type1
cash-in,98945,92568,28441032,2019-07-14 10:17:00,1,type1
cash-in,98945,89586,28441032,2019-07-02 11:21:00,1,type1
cash-in,98945,38452,28441032,2019-06-09 15:32:00,1,type1
cash-in,98945,43634,28441032,2019-05-11 12:26:00,1,type1
cash-in,98945,73838,28441033,2019-07-06 11:03:00,1,type1
cash-in,98945,38105,28441033,2019-02-21 10:03:00,1,type1
cash-in,98945,1382,28441033,2019-05-04 08:50:00,1,type1
cash-in,98945,76061,28441033,2019-07-10 11:11:00,1,type1
cash-in,49617,4706,74655973,2019-04-09 10:47:00,1,type1
cash-in,49617,56953,74655973,2019-02-21 09:22:00,1,type1
cash-in,49617,91515,74655973,2019-04-27 08:25:00,1,type1
cash-in,49617,78037,74655974,2019-05-30 08:52:00,1,type1
cash-in,49617,50689,74655974,2019-03-01 13:43:00,1,type1
cash-in,49617,1697,74655974,2019-05-20 08:50:00,1,type1
cash-in,49617,35324,74655974,2019-06-03 15:31:00,1,type1
cash-in,49617,16525,74655974,2019-06-14 13:22:00,1,type1
cash-in,49617,82085,74655974,2019-04-30 08:24:00,1,type1
cash-in,49617,42206,74655974,2019-06-16 11:37:00,1,type1
cash-in,49617,85481,74655974,2019-05-19 10:26:00,1,type1
cash-in,49617,72883,74655974,2019-07-15 08:02:00,1,type1
cash-in,99248,67938,59619828,2019-06-08 12:32:00,1,type1
cash-in,99248,73213,59619828,2019-05-17 09:51:00,1,type1
cash-in,99248,429,59619829,2019-05-19 08:06:00,1,type1
cash-in,99248,89022,59619829,2019-06-07 13:58:00,1,type1
cash-in,99248,54612,59619829,2019-04-12 09:40:00,1,type1
cash-in,99248,96138,59619829,2019-07-04 08:54:00,1,type1
cash-in,99248,2985,59619829,2019-07-05 13:20:00,1,type1
cash-in,99248,14966,59619829,2019-03-16 11:20:00,1,type1
cash-in,99248,37768,59619829,2019-02-27 15:32:00,1,type1
cash-in,99248,50655,59619829,2019-06-04 09:57:00,1,type1
cash-in,99248,92355,59619829,2019-06-22 10:41:00,1,type1
cash-in,99248,38923,59619829,2019-04-11 08:47:00,1,type1
cash-in,99248,53021,59619829,2019-05-04 13:50:00,1,type1
cash-in,51726,49910,20794953,2019-03-07 10:00:00,1,type1
cash-in,51726,56221,20794953,2019-05-06 08:00:00,1,type1
cash-in,51726,97540,20794953,2019-06-08 08:57:00,1,type1
cash-in,51726,90664,20794953,2019-06-23 08:50:00,1,type1
cash-in,51726,49527,20794953,2019-04-30 10:04:00,1,type1
cash-in,51726,89214,20794953,2019-02-22 11:23:00,1,type1
cash-in,51726,95950,20794953,2019-05-29 15:07:00,1,type1
cash-in,51726,21719,20794953,2019-03-17 12:08:00,1,type1
cash-in,51726,13813,20794953,2019-06-16 13:15:00,1,type1
cash-in,51726,3560,20794953,2019-03-16 13:34:00,1,type1
cash-in,51726,42917,20794953,2019-07-03 09:18:00,1,type1
cash-in,51726,61277,20794953,2019-03-16 14:23:00,1,type1
cash-in,51726,27860,20794953,2019-06-22 14:49:00,1,type1
cash-in,51726,7269,20794953,2019-03-11 09:56:00,1,type1
cash-in,51726,96842,20794953,2019-07-02 08:08:00,1,type1
cash-in,51726,39012,20794953,2019-07-03 11:25:00,1,type1
cash-in,51726,55703,20794954,2019-04-17 12:43:00,1,type1
cash-in,51726,19796,20794954,2019-06-23 14:21:00,1,type1
cash-in,6438,32031,73537320,2019-04-21 08:20:00,1,type1
cash-in,6438,88725,73537320,2019-06-16 08:15:00,1,type1
cash-in,6438,69456,73537320,2019-06-22 12:02:00,1,type1
cash-in,65687,81705,5502895,2019-05-10 13:05:00,1,type1
cash-in,65687,52181,5502895,2019-05-21 09:02:00,1,type1
cash-in,65687,51295,5502895,2019-05-22 14:18:00,1,type1
cash-in,65687,43244,5502895,2019-05-18 14:40:00,1,type1
cash-in,65687,16872,5502895,2019-06-20 08:07:00,1,type1
cash-in,65687,62768,5502895,2019-05-21 14:08:00,1,type1
cash-in,65687,78519,5502895,2019-04-14 11:42:00,1,type1
cash-in,65687,23623,5502895,2019-05-07 13:08:00,1,type1
cash-in,65687,464,5502895,2019-03-30 10:26:00,1,type1
cash-in,65687,90201,5502895,2019-03-26 10:32:00,1,type1
cash-in,65687,44494,5502895,2019-06-28 12:00:00,1,type1
cash-in,65687,37580,5502895,2019-07-17 13:56:00,1,type1
cash-in,65687,16151,5502895,2019-07-10 11:33:00,1,type1
cash-in,65687,82653,5502895,2019-06-28 14:02:00,1,type1
cash-in,65687,56071,5502895,2019-06-23 11:45:00,1,type1
cash-in,65687,61206,5502895,2019-03-21 15:52:00,1,type1
cash-in,65687,8347,5502895,2019-07-01 14:58:00,1,type1
cash-in,65687,99304,5502895,2019-07-19 14:22:00,1,type1
cash-in,65687,71275,5502895,2019-06-10 11:41:00,1,type1
cash-in,65687,99526,5502896,2019-07-16 10:58:00,1,type1
cash-in,65687,20322,5502896,2019-06-27 12:50:00,1,type1
cash-in,65687,71407,5502896,2019-06-27 09:11:00,1,type1
cash-in,65687,58872,5502896,2019-05-30 08:13:00,1,type1
cash-in,65687,66946,5502896,2019-02-20 12:58:00,1,type1
cash-in,65687,75591,5502896,2019-03-12 12:28:00,1,type1
cash-in,65687,35091,5502896,2019-05-18 14:52:00,1,type1
cash-in,65687,53801,5502896,2019-04-25 08:34:00,1,type1
cash-in,33044,95901,65363229,2019-05-14 15:25:00,1,type1
cash-in,33044,51300,65363229,2019-06-21 10:22:00,1,type1
cash-in,33044,36219,65363229,2019-06-03 10:04:00,1,type1
cash-in,33044,93763,65363229,2019-03-07 13:38:00,1,type1
cash-in,33044,96646,65363229,2019-04-08 09:05:00,1,type1
cash-in,33044,91745,65363229,2019-04-20 15:00:00,1,type1
cash-in,33044,42423,65363230,2019-07-17 08:16:00,1,type1
cash-in,33044,33678,65363230,2019-06-14 09:16:00,1,type1
cash-in,33044,44261,65363230,2019-05-10 14:38:00,1,type1
cash-in,33044,63130,65363230,2019-05-05 09:33:00,1,type1
cash-in,84631,22295,7230355,2019-05-26 12:14:00,1,type1
cash-in,84631,7327,7230355,2019-04-07 14:11:00,1,type1
cash-in,84631,93915,7230355,2019-05-30 12:15:00,1,type1
cash-in,84631,89055,7230355,2019-05-04 15:22:00,1,type1
cash-in,84631,18659,7230355,2019-06-15 13:39:00,1,type1
cash-in,84631,49484,7230355,2019-05-30 14:06:00,1,type1
cash-in,84631,44977,7230355,2019-03-27 12:29:00,1,type1
cash-in,84631,10120,7230355,2019-05-10 08:33:00,1,type1
cash-in,84631,87632,7230355,2019-04-04 13:21:00,1,type1
cash-in,84631,90763,7230355,2019-04-19 11:17:00,1,type1
cash-in,84631,31020,7230355,2019-07-16 12:29:00,1,type1
cash-in,84631,38377,7230355,2019-06-29 13:48:00,1,type1
cash-in,84631,59396,7230355,2019-04-15 09:44:00,1,type1
cash-in,84631,10192,7230355,2019-05-22 09:14:00,1,type1
cash-in,84631,55612,7230355,2019-06-07 15:59:00,1,type1
cash-in,84631,88411,7230355,2019-04-16 09:41:00,1,type1
cash-in,84631,69544,7230355,2019-03-17 09:35:00,1,type1
cash-in,84631,3923,7230356,2019-04-20 11:02:00,1,type1
cash-in,84631,52046,7230356,2019-05-25 13:00:00,1,type1
cash-in,84631,17392,7230356,2019-07-07 11:51:00,1,type1
cash-in,84631,1293,7230356,2019-06-05 15:34:00,1,type1
cash-in,84631,92938,7230356,2019-06-10 12:00:00,1,type1
cash-in,84631,458,7230356,2019-05-05 09:21:00,1,type1
cash-in,84631,53560,7230356,2019-05-31 12:05:00,1,type1
cash-in,84631,99850,7230356,2019-07-13 13:17:00,1,type1
cash-in,92208,8285,41523941,2019-07-16 08:04:00,1,type1
cash-in,92208,21342,41523942,2019-06-23 13:17:00,1,type1
cash-in,92208,54393,41523942,2019-03-31 11:50:00,1,type1
cash-in,92208,80535,41523942,2019-03-17 15:44:00,1,type1
cash-in,92208,14139,41523942,2019-04-29 08:35:00,1,type1
cash-in,92208,87216,41523942,2019-05-02 13:18:00,1,type1
cash-in,92208,99163,41523942,2019-05-27 10:57:00,1,type1
cash-in,92208,59122,41523942,2019-02-25 08:07:00,1,type1
cash-in,92208,21922,41523942,2019-06-10 12:48:00,1,type1
cash-in,92208,90125,41523942,2019-07-16 12:48:00,1,type1
cash-in,92208,82093,41523942,2019-04-24 14:25:00,1,type1
cash-in,92208,70020,41523942,2019-04-13 11:28:00,1,type1
cash-in,92208,29903,41523942,2019-03-10 10:04:00,1,type1
cash-in,92208,21920,41523942,2019-07-10 10:17:00,1,type1
cash-in,92208,95571,41523942,2019-05-04 13:48:00,1,type1
cash-in,92208,79028,41523942,2019-06-18 08:41:00,1,type1
cash-in,92208,21074,41523942,2019-07-17 10:51:00,1,type1
cash-in,92208,32010,41523942,2019-03-23 08:47:00,1,type1
cash-in,92208,97181,41523942,2019-05-06 14:45:00,1,type1
cash-in,92208,25306,41523942,2019-07-05 15:49:00,1,type1
cash-in,92208,85065,41523942,2019-04-14 14:58:00,1,type1
cash-in,92208,79808,41523942,2019-04-27 10:35:00,1,type1
cash-in,92208,41265,41523942,2019-06-10 10:17:00,1,type1
cash-in,92208,26887,41523942,2019-07-19 10:05:00,1,type1
cash-in,57201,99061,9666031,2019-06-13 10:16:00,1,type1
cash-in,57201,47032,9666031,2019-04-30 13:19:00,1,type1
cash-in,57201,2804,9666031,2019-03-13 13:08:00,1,type1
cash-in,57201,53192,9666031,2019-03-16 14:57:00,1,type1
cash-in,57201,42288,9666031,2019-06-18 11:57:00,1,type1
cash-in,57201,48106,9666031,2019-05-03 12:29:00,1,type1
cash-in,57201,89108,9666031,2019-05-22 14:56:00,1,type1
cash-in,57201,86073,9666031,2019-05-04 14:29:00,1,type1
cash-in,57201,15936,9666031,2019-06-10 13:18:00,1,type1
cash-in,57201,27842,9666031,2019-05-20 08:38:00,1,type1
cash-in,57201,5648,9666031,2019-03-26 09:08:00,1,type1
cash-in,57201,12863,9666031,2019-06-08 12:05:00,1,type1
cash-in,57201,78470,9666031,2019-05-17 13:24:00,1,type1
cash-in,57201,47072,9666031,2019-07-05 11:37:00,1,type1
cash-in,57201,39488,9666031,2019-07-16 14:24:00,1,type1
cash-in,57201,99719,9666031,2019-05-20 11:46:00,1,type1
cash-in,57201,33390,9666031,2019-06-05 09:34:00,1,type1
cash-in,57201,15783,9666031,2019-04-02 11:24:00,1,type1
cash-in,57201,86042,9666031,2019-07-05 11:16:00,1,type1
cash-in,57201,93347,9666031,2019-04-10 09:09:00,1,type1
cash-in,57201,29176,9666031,2019-06-03 10:06:00,1,type1
cash-in,57201,227,9666031,2019-06-12 14:18:00,1,type1
cash-in,57201,24752,9666032,2019-07-12 13:15:00,1,type1
cash-in,57201,6859,9666032,2019-04-01 10:42:00,1,type1
cash-in,57201,48901,9666032,2019-04-02 12:56:00,1,type1
cash-in,57201,14996,9666032,2019-02-28 15:57:00,1,type1
cash-in,57201,50435,9666032,2019-04-30 09:26:00,1,type1
cash-in,19861,40645,106765611,2019-03-08 13:20:00,1,type1
cash-in,19861,53416,106765611,2019-06-09 13:28:00,1,type1
cash-in,19861,30727,106765611,2019-06-02 13:11:00,1,type1
cash-in,19861,80161,106765611,2019-05-12 13:53:00,1,type1
cash-in,19861,94793,106765611,2019-04-30 12:16:00,1,type1
cash-in,19861,15146,106765612,2019-05-14 12:57:00,1,type1
cash-in,19861,38036,106765612,2019-06-29 14:42:00,1,type1
cash-in,99481,13917,94890479,2019-04-08 12:58:00,1,type1
cash-in,99481,71131,94890479,2019-06-15 10:37:00,1,type1
cash-in,99481,53557,94890479,2019-06-09 13:01:00,1,type1
cash-in,99481,7932,94890479,2019-04-20 10:28:00,1,type1
cash-in,99481,7578,94890479,2019-04-15 14:04:00,1,type1
cash-in,99481,62810,94890479,2019-06-10 09:00:00,1,type1
cash-in,99481,17070,94890479,2019-04-08 12:00:00,1,type1
cash-in,99481,16433,94890480,2019-06-28 12:34:00,1,type1
cash-in,99481,52550,94890480,2019-07-11 09:56:00,1,type1
cash-in,99481,54475,94890480,2019-03-01 09:18:00,1,type1
cash-in,68791,62487,10153881,2019-05-10 10:26:00,1,type1
cash-in,68791,84833,10153881,2019-06-11 15:31:00,1,type1
cash-in,68791,75811,10153882,2019-05-07 12:04:00,1,type1
cash-in,68791,81109,10153882,2019-05-27 13:56:00,1,type1
cash-in,68791,51754,10153882,2019-06-13 08:48:00,1,type1
cash-in,68791,81556,10153882,2019-05-22 10:23:00,1,type1
cash-in,68791,35130,10153882,2019-04-10 14:22:00,1,type1
cash-in,68791,84283,10153882,2019-05-25 09:58:00,1,type1
cash-in,68791,78026,10153882,2019-07-10 11:36:00,1,type1
cash-in,68791,45813,10153882,2019-03-25 09:13:00,1,type1
cash-in,68791,13599,10153882,2019-03-20 08:10:00,1,type1
cash-in,68791,84840,10153882,2019-03-14 12:22:00,1,type1
cash-in,68791,39954,10153882,2019-03-03 11:11:00,1,type1
cash-in,68791,44668,10153882,2019-03-14 09:10:00,1,type1
cash-in,68791,53807,10153882,2019-06-27 09:33:00,1,type1
cash-in,68791,84245,10153882,2019-06-21 12:57:00,1,type1
cash-in,68791,90360,10153882,2019-04-12 10:35:00,1,type1
cash-in,68791,52533,10153882,2019-05-26 12:34:00,1,type1
cash-in,68791,8245,10153882,2019-06-13 09:25:00,1,type1
cash-in,68791,31105,10153882,2019-07-17 12:15:00,1,type1
cash-in,68791,58660,10153882,2019-06-25 14:05:00,1,type1
cash-in,68791,91650,10153882,2019-07-13 13:48:00,1,type1
cash-in,68791,35873,10153882,2019-06-01 15:40:00,1,type1
cash-in,68791,47734,10153882,2019-03-20 14:25:00,1,type1
cash-in,68791,94903,10153882,2019-03-26 15:50:00,1,type1
cash-in,68791,85879,10153882,2019-04-24 10:54:00,1,type1
cash-in,68791,98566,10153882,2019-04-02 10:49:00,1,type1
cash-in,68791,8490,10153882,2019-03-24 08:52:00,1,type1
cash-in,68791,52164,10153882,2019-03-03 08:26:00,1,type1
cash-in,56039,69667,10583564,2019-06-14 11:42:00,1,type1
cash-in,56039,5182,10583564,2019-07-07 08:24:00,1,type1
cash-in,56039,60742,10583565,2019-05-14 14:08:00,1,type1
cash-in,56039,84887,10583565,2019-04-26 08:36:00,1,type1
cash-in,56039,82736,10583565,2019-05-12 14:59:00,1,type1
cash-in,56039,58846,10583565,2019-03-18 15:40:00,1,type1
cash-in,56039,28173,10583565,2019-03-10 11:35:00,1,type1
cash-in,56039,54909,10583565,2019-03-07 11:28:00,1,type1
cash-in,56039,48905,10583565,2019-05-26 12:15:00,1,type1
cash-in,56039,62739,10583565,2019-07-11 09:38:00,1,type1
cash-in,56039,71366,10583565,2019-06-16 14:14:00,1,type1
cash-in,56039,8663,10583565,2019-06-11 15:41:00,1,type1
cash-in,56039,39448,10583565,2019-06-16 13:40:00,1,type1
cash-in,56039,9636,10583565,2019-04-06 12:03:00,1,type1
cash-in,31390,20632,27279804,2019-06-12 15:37:00,1,type1
cash-in,31390,84306,27279804,2019-04-09 09:24:00,1,type1
cash-in,31390,21466,27279804,2019-04-26 08:47:00,1,type1
cash-in,31390,45975,27279804,2019-06-18 08:45:00,1,type1
cash-in,31390,72726,27279804,2019-02-23 13:46:00,1,type1
cash-in,31390,38260,27279804,2019-05-26 11:21:00,1,type1
cash-in,31390,60010,27279804,2019-04-04 15:38:00,1,type1
cash-in,31390,60704,27279804,2019-06-07 14:59:00,1,type1
cash-in,31390,11820,27279804,2019-06-20 10:51:00,1,type1
cash-in,31390,67661,27279804,2019-04-19 13:43:00,1,type1
cash-in,31390,45051,27279804,2019-03-07 15:29:00,1,type1
cash-in,31390,23761,27279804,2019-02-28 09:03:00,1,type1
cash-in,31390,5848,27279804,2019-07-11 15:15:00,1,type1
cash-in,31390,54279,27279804,2019-04-15 09:44:00,1,type1
cash-in,31390,57803,27279805,2019-06-14 13:47:00,1,type1
cash-in,31390,7871,27279805,2019-05-10 10:48:00,1,type1
cash-in,31390,44773,27279805,2019-06-25 10:35:00,1,type1
cash-in,31390,7934,27279805,2019-07-11 10:53:00,1,type1
cash-in,27869,4515,82673492,2019-03-08 09:50:00,1,type1
cash-in,27869,9785,82673493,2019-04-05 15:18:00,1,type1
cash-in,27869,98369,82673493,2019-05-16 15:07:00,1,type1
cash-in,27869,41691,82673493,2019-04-30 11:12:00,1,type1
cash-in,27869,25901,82673493,2019-03-02 10:06:00,1,type1
cash-in,27869,8773,82673493,2019-05-23 14:57:00,1,type1
cash-in,27869,51559,82673493,2019-02-25 12:09:00,1,type1
cash-in,27869,17721,82673493,2019-04-30 11:54:00,1,type1
cash-in,27869,20162,82673493,2019-06-15 12:21:00,1,type1
cash-in,27869,62435,82673493,2019-07-14 12:36:00,1,type1
cash-in,93323,73361,9163566,2019-06-18 08:07:00,1,type1
cash-in,93323,51776,9163566,2019-03-06 08:36:00,1,type1
cash-in,93323,44430,9163566,2019-07-20 10:09:00,1,type1
cash-in,93323,98467,9163566,2019-04-25 14:30:00,1,type1
cash-in,93323,65524,9163566,2019-03-05 10:53:00,1,type1
cash-in,93323,8459,9163566,2019-03-29 09:28:00,1,type1
cash-in,93323,73856,9163566,2019-07-15 09:19:00,1,type1
cash-in,93323,33926,9163566,2019-04-21 10:49:00,1,type1
cash-in,93323,53049,9163567,2019-04-02 08:36:00,1,type1
cash-in,93323,26280,9163567,2019-05-25 09:10:00,1,type1
cash-in,93323,3444,9163567,2019-05-04 11:49:00,1,type1
cash-in,93323,82546,9163567,2019-05-05 09:38:00,1,type1
cash-in,93323,81564,9163567,2019-03-06 08:31:00,1,type1
cash-in,93323,70353,9163567,2019-04-25 10:34:00,1,type1
cash-in,93323,61241,9163567,2019-04-19 14:09:00,1,type1
cash-in,93323,38842,9163567,2019-05-17 14:00:00,1,type1
cash-in,89295,66204,39220197,2019-04-24 09:24:00,1,type1
cash-in,89295,99510,39220197,2019-03-26 10:49:00,1,type1
cash-in,89295,65242,39220197,2019-04-26 14:19:00,1,type1
cash-in,89295,79048,39220197,2019-06-13 15:44:00,1,type1
cash-in,89295,84058,39220197,2019-06-09 12:03:00,1,type1
cash-in,89295,74624,39220197,2019-06-05 10:21:00,1,type1
cash-in,89295,92441,39220197,2019-02-21 09:40:00,1,type1
cash-in,89295,31334,39220197,2019-06-01 13:48:00,1,type1
cash-in,89295,22467,39220197,2019-03-03 13:15:00,1,type1
cash-in,89295,45371,39220197,2019-04-01 09:09:00,1,type1
cash-in,89295,48013,39220197,2019-02-27 13:10:00,1,type1
cash-in,89295,25627,39220197,2019-07-19 13:42:00,1,type1
cash-in,89295,36647,39220197,2019-03-28 13:57:00,1,type1
cash-in,89295,97579,39220198,2019-04-13 14:30:00,1,type1
cash-in,89295,41543,39220198,2019-05-01 13:03:00,1,type1
cash-in,89295,61024,39220198,2019-03-17 10:21:00,1,type1
cash-in,89295,74642,39220198,2019-07-13 11:04:00,1,type1
cash-in,89295,39844,39220198,2019-03-21 13:28:00,1,type1
cash-in,89295,33076,39220198,2019-06-05 10:30:00,1,type1
cash-in,89295,19541,39220198,2019-04-10 10:56:00,1,type1
cash-in,67037,41457,181545274,2019-04-17 14:25:00,1,type1
cash-in,67037,54684,181545275,2019-05-01 08:55:00,1,type1
cash-in,67037,7649,181545275,2019-06-19 15:36:00,1,type1
cash-in,67037,2149,181545275,2019-06-21 13:35:00,1,type1
cash-in,52856,30172,73626174,2019-03-29 08:18:00,1,type1
cash-in,52856,86509,73626174,2019-04-21 13:14:00,1,type1
cash-in,52856,54453,73626174,2019-03-18 15:04:00,1,type1
cash-in,52856,21152,73626174,2019-03-07 14:53:00,1,type1
cash-in,52856,55468,73626174,2019-03-30 14:49:00,1,type1
cash-in,52856,7432,73626174,2019-05-07 11:45:00,1,type1
cash-in,52856,26831,73626174,2019-05-03 15:00:00,1,type1
cash-in,52856,96616,73626174,2019-04-10 12:33:00,1,type1
cash-in,52856,37785,73626174,2019-04-01 14:53:00,1,type1
cash-in,52856,64447,73626174,2019-03-22 15:58:00,1,type1
